,ID,Назва,Категорія,Артикул,Штрих-код,Кількість,Од.вим.,Доступно до продажу,Опис,Склад,Собівр.,Ціна,Бренд,Зображення,Місце зберігання,Висота,Ширина,Довжина,Вага,УКТ ЗЕД,Придатний до
0,6978944,"Килимок субстрат 30*20см зелений Підстилка в тераріум безпечна для геконів, змій, черепах, равликів",Корневая группа//Подстилки в террариум,1400A-BZ-302,,9,шт,9,None,Основний склад,0,108,,https://crm.h-profit.com/bimages/get/0-26128-6978944-0.jpg,,,,,,,
1,6978943,"Килимок субстрат 40*30см зелений Підстилка в тераріум безпечна для геконів, змій, черепах, равликів",Корневая группа//Подстилки в террариум,1400R-YF-907,,1,шт,1,None,Основний склад,0,178,,https://crm.h-profit.com/bimages/get/0-26128-6978943-0.jpg,,,,,,,
2,6978942,"Килимок субстрат 60*40см зелений Підстилка в тераріум безпечна для геконів, змій, черепах, равликів",Корневая группа//Подстилки в террариум,1400I-FP-604,,5,шт,5,None,Основний склад,0,295,,https://crm.h-profit.com/bimages/get/0-26128-6978942-0.jpg,,,,,,,
3,6978941,"Термокилимок 50*40см з терморегулятором цифровим для тераріумів, геконів, змій Обігрів рептилій, тварин",Корневая группа//Обогрев террариумов//Термоковрики от сети (220В),200Y-PY-151,,0,шт,0,None,Основний склад,0,1086,,https://crm.h-profit.com/bimages/get/0-26128-6978941-0.jpg,,,,,,,
4,6978940,"Термокилимок 15*28см до 30градусів з регулятором Обігрів рептилій, тварин, тераріумів, акваріумів",Корневая группа//Обогрев террариумов//Термоковрики от сети (220В),200O-DY-032,,0,шт,0,None,Основний склад,0,326,,https://crm.h-profit.com/bimages/get/0-26128-6978940-0.jpg,,,,,,,
5,6978939,"Термокилимок 15*14см з регулятором Обігрів рептилій, тварин, тераріумів, акваріумів",Корневая группа//Обогрев террариумов//Термоковрики от сети (220В),200B-MD-142,,0,шт,0,None,Основний склад,0,338,,https://crm.h-profit.com/bimages/get/0-26128-6978939-0.jpg,,,,,,,
6,6978938,"Схованка печера 15*12*6см декорація з ліанами в тераріум для рептилій, геконів, ящірок, змій маленька",Корневая группа//Укрытия//Укрытия без дна,466T-PQ-670,,0,шт,0,None,Основний склад,0,486,,https://crm.h-profit.com/bimages/get/0-26128-6978938-0.jpg,,,,,,,
7,6978937,"Штучна рослина 30см 5 гілочок зелена декорація для рептилій, амфібій Оформлення у тераріум",Корневая группа//Декорации в террариум,805E-SB-109,,0,шт,0,None,Основний склад,0,141,,https://crm.h-profit.com/bimages/get/0-26128-6978937-0.jpg,,,,,,,
8,6896498,"Розбірна волога камера 17*12*6см для рептилій Укриття печера для геконів, змій",Корневая группа//Укрытия//Влажные камеры(с дном),460X-WL-312,,2,шт,2,None,Основний склад,0,641,,https://crm.h-profit.com/bimages/get/0-26128-6896498-0.jpg,,,,,,,
9,6896497,"Розбірна волога камера 14*11*5см для рептилій Укриття печера для геконів, змій",Корневая группа//Укрытия//Влажные камеры(с дном),460S-DR-570,,1,шт,1,None,Основний склад,0,498,,https://crm.h-profit.com/bimages/get/0-26128-6896497-0.jpg,,,,,,,
