productId,sku,name,price,stockQuantity,source,externalIds,description,mainImage,images,inStock,available,priceOld,pricePromo,updatedPrice,currency,dateModified,lastSynced,needsSync,multilangData,categoryData,measureUnit,status,lastPromSync,lastRozetkaSync,needsPromSync,needsRozetkaSync,promQuantity,rozetkaQuantity,costPrice
6477285_H31k-2,805L-AJ-263,"Штучна рослина 100см 5 гілочок зелена декорація для рептилій, амфібій Оформлення у тераріум",141.00,1,prom,"{""prom"": ""2766029810"", ""rozetka"": null}",None,https://crm.h-profit.com/bimages/get/0-26128-6477285-0.jpg,{https://crm.h-profit.com/bimages/get/0-26128-6477285-0.jpg},1,t,,,,UAH,,2025-10-04 16:42:58.9+03,f,null,"{""name"": ""Корневая группа//Декорации в террариум""}",шт,active,,,f,f,1,1,
6477284_Km3rvq,805D-VG-126,"Штучна гілка бегонії 40см зелена декорація для рептилій, амфібій Оформлення у тераріум",45.00,2,prom,"{""prom"": ""2766027154"", ""rozetka"": null}",None,https://crm.h-profit.com/bimages/get/0-26128-6477284-0.jpg,{https://crm.h-profit.com/bimages/get/0-26128-6477284-0.jpg},2,t,,,,UAH,,2025-10-04 16:42:58.9+03,f,null,"{""name"": ""Корневая группа//Декорации в террариум""}",шт,active,,,f,f,2,2,
6477283_y4WzZR,805U-QA-780,"Штучна гілка плюща 40см зелена декорація для рептилій, амфібій Оформлення у тераріум",45.00,2,prom,"{""prom"": ""2766020301"", ""rozetka"": null}",None,https://crm.h-profit.com/bimages/get/0-26128-6477283-0.jpg,{https://crm.h-profit.com/bimages/get/0-26128-6477283-0.jpg},2,t,,,,UAH,,2025-10-04 16:42:58.9+03,f,null,"{""name"": ""Корневая группа//Декорации в террариум""}",шт,active,,,f,f,2,2,
6477282_pU7_xT,805V-DA-916,"Штучна ліана 2,3м зелена декорація для рептилій, амфібій Оформлення у тераріум",153.00,2,prom,"{""prom"": ""2765996226"", ""rozetka"": null}",None,https://crm.h-profit.com/bimages/get/0-26128-6477282-0.jpg,{https://crm.h-profit.com/bimages/get/0-26128-6477282-0.jpg},2,t,,,,UAH,,2025-10-04 16:42:58.9+03,f,null,"{""name"": ""Корневая группа//Декорации в террариум""}",шт,active,,,f,f,2,2,
6477281_m5Qz6p,805U-RB-177,"Штучна ліана 2,3м зелена декорація для рептилій, амфібій Оформлення у тераріум",153.00,2,prom,"{""prom"": ""2765974645"", ""rozetka"": null}",None,https://crm.h-profit.com/bimages/get/0-26128-6477281-0.jpg,{https://crm.h-profit.com/bimages/get/0-26128-6477281-0.jpg},2,t,,,,UAH,,2025-10-04 16:42:58.901+03,f,null,"{""name"": ""Корневая группа//Декорации в террариум""}",шт,active,,,f,f,2,2,
6438148_sZ1TgF,300M-ZB-016,"Пінцет 16см металевий для годування рептилій, амфібій, павуків комахами",107.00,4,prom,"{""prom"": ""2762326046"", ""rozetka"": ""420824934""}",None,https://crm.h-profit.com/bimages/get/0-26128-6438148-0.jpg,{https://crm.h-profit.com/bimages/get/0-26128-6438148-0.jpg},4,t,,,,UAH,,2025-10-04 16:42:58.901+03,f,null,"{""name"": ""Корневая группа//Пинцеты для Кормления""}",шт,active,,,f,f,4,4,
6438147_y-4suZ,300M-XH-030,"Пінцет 30см металевий для годування рептилій, амфібій, павуків комахами",213.00,4,prom,"{""prom"": ""2762313407"", ""rozetka"": ""420824931""}",None,https://crm.h-profit.com/bimages/get/0-26128-6438147-0.jpg,{https://crm.h-profit.com/bimages/get/0-26128-6438147-0.jpg},4,t,,,,UAH,,2025-10-04 16:42:58.901+03,f,null,"{""name"": ""Корневая группа//Пинцеты для Кормления""}",шт,active,,,f,f,4,4,
6438146_3Q7XZg,300M-JG-020,"Пінцет 20см металевий для годування рептилій, павуків, амфібій, комахами",132.00,4,prom,"{""prom"": ""1813919584"", ""rozetka"": ""420824937""}",None,https://crm.h-profit.com/bimages/get/0-26128-6438146-0.jpg,{https://crm.h-profit.com/bimages/get/0-26128-6438146-0.jpg},4,t,,,,UAH,,2025-10-04 16:42:58.901+03,f,null,"{""name"": ""Корневая группа//Пинцеты для Кормления""}",шт,active,,,f,f,4,4,
6373907_VrG84a,466R-FD-568,"Декорація 13*13*9см Zoo Med Habba Hut Натуральне укриття з дерева для геконів, змій, черепах у тераріум",538.00,0,prom,"{""prom"": ""2746137469"", ""rozetka"": null}",None,https://crm.h-profit.com/bimages/get/0-26128-6373907-0.jpg,{https://crm.h-profit.com/bimages/get/0-26128-6373907-0.jpg},0,f,,,,UAH,,2025-10-04 16:42:58.901+03,f,null,"{""name"": ""Корневая группа//Укрытия//Укрытия без дна""}",шт,active,,,f,f,0,0,
6373906_1FXMQU,466W-CH-430,"Схованка печера 20*19*7см декорація в тераріум для рептилій, геконів, ящірок, змій, павуків",861.00,1,prom,"{""prom"": ""2740802710"", ""rozetka"": null}",None,https://crm.h-profit.com/bimages/get/0-26128-6373906-0.jpg,{https://crm.h-profit.com/bimages/get/0-26128-6373906-0.jpg},1,t,,,,UAH,,2025-10-04 16:42:58.901+03,f,null,"{""name"": ""Корневая группа//Укрытия//Укрытия без дна""}",шт,active,,,f,f,1,1,
